Index Python,Index,Country,Economy,Region,Income group,Lending category
0,1,AGO,Angola,Sub-Saharan Africa,Lower middle income,IBRD
1,2,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,
2,3,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD
3,4,AUS,Australia,East Asia & Pacific,High income,
4,5,AUT,Austria,Europe & Central Asia,High income,
5,6,BEL,Belgium,Europe & Central Asia,High income,
6,7,BGD,Bangladesh,South Asia,Lower middle income,IDA
7,8,BGR,Bulgaria,Europe & Central Asia,High income,IBRD
8,9,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
9,10,BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD
10,11,BRN,Brunei Darussalam,East Asia & Pacific,High income,
11,12,CAN,Canada,North America,High income,
12,13,CHE,Switzerland,Europe & Central Asia,High income,
13,14,CHL,Chile,Latin America & Caribbean,High income,IBRD
14,15,CHN,China,East Asia & Pacific,Upper middle income,IBRD
15,16,CIV,Côte d’Ivoire,Sub-Saharan Africa,Lower middle income,Blend
16,17,CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Blend
17,18,COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,IDA
18,19,COL,Colombia,Latin America & Caribbean,Upper middle income,IBRD
19,20,CRI,Costa Rica,Latin America & Caribbean,High income,IBRD
20,21,CYP,Cyprus,Europe & Central Asia,High income,
21,22,CZE,Czechia,Europe & Central Asia,High income,
22,23,DEU,Germany,Europe & Central Asia,High income,
23,24,DNK,Denmark,Europe & Central Asia,High income,
24,25,EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD
25,26,ESP,Spain,Europe & Central Asia,High income,
26,27,EST,Estonia,Europe & Central Asia,High income,
27,28,FIN,Finland,Europe & Central Asia,High income,
28,29,FRA,France,Europe & Central Asia,High income,
29,30,GBR,United Kingdom,Europe & Central Asia,High income,
30,31,GRC,Greece,Europe & Central Asia,High income,
31,32,HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,
32,33,HRV,Croatia,Europe & Central Asia,High income,IBRD
33,34,HUN,Hungary,Europe & Central Asia,High income,
34,35,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
35,36,IND,India,South Asia,Lower middle income,IBRD
36,37,IRL,Ireland,Europe & Central Asia,High income,
37,38,ISL,Iceland,Europe & Central Asia,High income,
38,39,ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,
39,40,ITA,Italy,Europe & Central Asia,High income,
40,41,JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD
41,42,JPN,Japan,East Asia & Pacific,High income,
42,43,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD
43,44,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
44,45,KOR,"Korea, Rep.",East Asia & Pacific,High income,
45,46,LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA
46,47,LTU,Lithuania,Europe & Central Asia,High income,
47,48,LUX,Luxembourg,Europe & Central Asia,High income,
48,49,LVA,Latvia,Europe & Central Asia,High income,
49,50,MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD
50,51,MEX,Mexico,Latin America & Caribbean,Upper middle income,IBRD
51,52,MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,
52,53,MMR,Myanmar,East Asia & Pacific,Lower middle income,IDA
53,54,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
54,55,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Blend
55,56,NLD,Netherlands,Europe & Central Asia,High income,
56,57,NOR,Norway,Europe & Central Asia,High income,
57,58,NZL,New Zealand,East Asia & Pacific,High income,
58,59,PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Blend
59,60,PER,Peru,Latin America & Caribbean,Upper middle income,IBRD
60,61,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD
61,62,POL,Poland,Europe & Central Asia,High income,IBRD
62,63,PRT,Portugal,Europe & Central Asia,High income,
63,64,ROU,Romania,Europe & Central Asia,High income,IBRD
64,65,RUS,Russian Federation,Europe & Central Asia,High income,IBRD
65,66,SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,
66,67,SEN,Senegal,Sub-Saharan Africa,Lower middle income,IDA
67,68,SGP,Singapore,East Asia & Pacific,High income,
68,69,STP,São Tomé and Príncipe,Sub-Saharan Africa,Lower middle income,
69,70,SVK,Slovak Republic,Europe & Central Asia,High income,
70,71,SVN,Slovenia,Europe & Central Asia,High income,
71,72,SWE,Sweden,Europe & Central Asia,High income,
72,73,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD
73,74,TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD
74,75,TUR,Türkiye,Europe & Central Asia,Upper middle income,IBRD
75,76,TWN,"Taiwan, China",East Asia & Pacific,High income,
76,77,UKR,Ukraine,Europe & Central Asia,Upper middle income,IBRD
77,78,USA,United States,North America,High income,
78,79,VNM,Vietnam,East Asia & Pacific,Lower middle income,IBRD
79,80,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,IBRD
80,81,ROW,Rest of the World,Rest of the World,,
